Id,Venue,Latitude,Longitude,Category Tags,Featured
french-75-bar,French 75 Bar,29.9558,-90.0684,Craft Cocktails; Historic Bar; Grand Dame; Cocktail History,FALSE
french-market,French Market,29.9594,-90.0603,Historic Site; Tourist Essential,FALSE
frenchmen-art-books,Frenchmen Art & Books,29.9632,-90.0575,Shopping; Culture; Local Institution,FALSE
frenchmen-art-bazaar,Frenchmen Art Bazaar,29.9634,-90.0573,Shopping; Culture; Local Institution,FALSE
fritzel-s-european-jazz-pub,Fritzel's European Jazz Pub,29.9589,-90.0659,Live Music; Jazz Essential; First Timer Essential,FALSE
gw-fins,GW Fins,29.956,-90.0677,Fine Dining; Seafood,FALSE
galatoire-s-restaurant,Galatoire's Restaurant,29.9557,-90.0683,Grand Dame; Historic Restaurant; Fine Dining; Old New Orleans,FALSE
gallier-house,Gallier House,29.9602,-90.0617,Historic Site; Culture; Hidden Gem,FALSE
golden-lantern,Golden Lantern,29.962,-90.0594,Dive Bar; LGBTQ+; Local Institution,FALSE
harry-s-corner,Harry's Corner,29.9592,-90.0617,Dive Bar; Local Institution,FALSE
haus-of-hoodoo,Haus of Hoodoo,29.9328,-90.0768,Occult; Authentic Cultural Practice,FALSE
hemline-french-quarter,Hemline French Quarter,29.9572,-90.0652,Shopping,FALSE
hermann-grima-house,Hermann-Grima House,29.9573,-90.0683,Historic Site; Culture; Old New Orleans,FALSE
hex-old-world-witchery,Hex: Old World Witchery,29.9602,-90.0613,Occult; Witchcraft; Alternative,FALSE
hi-ho-lounge,Hi-Ho Lounge,29.9652,-90.0537,Live Music; Underground; Alternative; Late Night,FALSE
house-of-blues-new-orleans,House of Blues New Orleans,29.9531,-90.0663,Live Music; Tourist Essential,FALSE
hove-parfumeur,Hove Parfumeur,29.9575,-90.0635,Shopping; Local Institution,FALSE
island-of-salvation-botanica,Island of Salvation Botanica,29.9676,-90.0505,Occult; Authentic Cultural Practice; Local Institution,FALSE
jackson-square,Jackson Square,29.9574,-90.0629,Historic Site; First Timer Essential; Culture,FALSE
jean-lafitte-national-historical-park-and-preserve,Jean Lafitte National Historical Park and Preserve,29.9574,-90.0625,Historic Site; Culture; First Timer Essential,FALSE
jewel-of-the-south,Jewel of the South,29.9571,-90.0679,Craft Cocktails; Fine Dining; Old New Orleans,FALSE
joan-of-arc-statue,Joan of Arc Statue,29.9586,-90.0595,Historic Site; Culture; Hidden Gem,FALSE
johnny-white-s-corner-pub,Johnny White's Corner Pub,29.9592,-90.0658,Dive Bar; 24 Hours; Local Institution,FALSE
kermit-s-treme-mother-in-law-lounge,Kermit's Treme Mother-in-Law Lounge,29.9688,-90.0658,Live Music; Authentic Cultural Practice; Local Institution; Hidden Gem,FALSE
killer-poboys,Killer Poboys,29.9584,-90.0673,Cheap Eats; Hidden Gem; Local Institution,FALSE
lafitte-s-blacksmith-shop,Lafitte's Blacksmith Shop,29.9604,-90.0634,Historic Bar; Haunted; First Timer Essential; Tourist Behavior,FALSE
louis-armstrong-park,Louis Armstrong Park,29.9622,-90.0664,Historic Site; Culture,FALSE
louisiana-music-factory,Louisiana Music Factory,29.9582,-90.0647,Shopping; Live Music; Culture,FALSE
m-s-rau-antiques,M.S. Rau Antiques,29.9584,-90.0646,Historic Site; Culture,FALSE
mrb,MRB,29.9602,-90.0621,Dive Bar; Late Night Food; Underground,FALSE
madame-john-s-legacy,Madame John's Legacy,29.9597,-90.0622,Historic Site; Architecture; Old New Orleans,FALSE
mahogany-jazz-hall,Mahogany Jazz Hall,29.9584,-90.0645,Live Music; Jazz Essential,FALSE
maison-bourbon-jazz-club,Maison Bourbon Jazz Club,29.9571,-90.0662,Live Music; Tourist Essential,FALSE
mamou,Mamou,29.9555,-90.0679,Fine Dining; Hidden Gem,FALSE
manolito,Manolito,29.9593,-90.0632,Craft Cocktails; Hidden Gem,FALSE
marie-laveau-s-house-of-voodoo,Marie Laveau's House of Voodoo,29.9585,-90.0662,Occult; Tourist Essential; Voodoo Culture,FALSE
misfit-toys,Misfit Toys,29.9618,-90.0632,Dive Bar; Hidden Gem,FALSE
molly-s-at-the-market,Molly's at the Market,29.9608,-90.0611,Dive Bar; Local Institution; Late Night,FALSE
moonwalk-riverfront-park,Moonwalk Riverfront Park,29.9577,-90.0607,Historic Site; Tourist Behavior,FALSE
museum-of-death-new-orleans,Museum of Death New Orleans,29.9568,-90.0683,Alternative; Weird; Tourist Behavior,FALSE
museum-of-the-southern-jewish-experience,Museum of the Southern Jewish Experience,29.9495,-90.0689,Culture; Historic Site,FALSE
new-orleans-historic-voodoo-museum,New Orleans Historic Voodoo Museum,29.9595,-90.0653,Historic Site; Occult; Culture,FALSE
new-orleans-jazz-museum,New Orleans Jazz Museum,29.9616,-90.0583,Culture; Historic Site,FALSE
new-orleans-pharmacy-museum,New Orleans Pharmacy Museum,29.956,-90.0658,Historic Site; Weird; Dark Tourism; Hidden Gem,FALSE
new-orleans-workers-center-for-racial-justice,New Orleans Workers Center for Racial Justice,29.9328,-90.0768,Culture; Resistance Landmark; Local Institution,FALSE
no-rules-fashion,No Rules Fashion,29.9599,-90.0628,Shopping; Alternative; Gothic,FALSE
oceana-grill,Oceana Grill,29.9564,-90.0681,Tourist Essential; Seafood,FALSE
old-ursuline-convent,Old Ursuline Convent,29.9606,-90.0607,Historic Site; Culture; Old New Orleans,FALSE
palm-pine,Palm & Pine,29.96,-90.0712,Fine Dining; Late Night Food,FALSE
pat-o-brien-s,Pat O'Brien's,29.958,-90.0655,Historic Bar; Tourist Essential; Live Music,FALSE
path-of-awakenings,Path of Awakenings,29.9642,-90.0637,Occult; Authentic Cultural Practice; Local Institution,FALSE
perlis-clothing,Perlis Clothing,29.9565,-90.067,Shopping; Local Institution,FALSE
peychaud-s,Peychaud's,29.9575,-90.0655,Craft Cocktails; Historic Bar; Hidden Gem,FALSE
preservation-hall,Preservation Hall,29.9583,-90.0652,Live Music; Jazz Essential; Historic Site; First Timer Essential,FALSE
r-bar,R Bar,29.9635,-90.0573,Dive Bar; Local Institution; Alternative,FALSE
reverend-zombie-s-voodoo-shop,Reverend Zombie's Voodoo Shop,29.9587,-90.0651,Occult; Tourist Behavior,FALSE
road-kill,Road Kill,29.9599,-90.0619,Alternative; Punk; Underground,FALSE
santos-bar,Santos Bar,29.9618,-90.0604,Punk; Dive Bar; Alternative; Live Music,FALSE
snug-harbor-jazz-bistro,Snug Harbor Jazz Bistro,29.9633,-90.0571,Live Music; Jazz Essential; Local Institution,FALSE
spitfire-coffee,Spitfire Coffee,29.9583,-90.0645,Hidden Gem; Craft Coffee; Solo Traveler Friendly,FALSE
st-louis-cathedral,St. Louis Cathedral,29.9579,-90.0637,Historic Site; First Timer Essential; Architecture,FALSE
st-louis-cemetery-no-1,St. Louis Cemetery No. 1,29.9593,-90.0706,Historic Site; Haunted; Tourist Essential,FALSE
starling-magickal-occult-shop,Starling Magickal Occult Shop,29.9608,-90.0614,Occult; Witchcraft; Local Institution,FALSE
steamboat-natchez,Steamboat NATCHEZ,29.9555,-90.0616,Historic Site; Tourist Essential,FALSE
studio-be,Studio BE,29.9667,-90.0503,Culture; Alternative; Underground,FALSE
sylvain,Sylvain,29.9579,-90.0646,Fine Dining; Hidden Gem,FALSE
the-abbey,The Abbey,29.962,-90.0594,Dive Bar; Underground; Late Night,FALSE
the-alibi,The Alibi,29.9546,-90.0688,Dive Bar; Late Night Food; Industry Favorite; 24 Hours,FALSE
the-bombay-club,The Bombay Club,29.9576,-90.0673,Craft Cocktails; Live Music; Jazz Essential; Hidden Gem,FALSE
the-chart-room,The Chart Room,29.9567,-90.0657,Dive Bar; Local Institution,FALSE
the-dungeon,The Dungeon,29.9587,-90.0664,Goth; Underground; Late Night,FALSE
the-elysian-bar,The Elysian Bar,29.965,-90.055,Craft Cocktails; Instagrammable; Fine Dining,FALSE
the-jimani,The Jimani,29.9535,-90.0673,Dive Bar; Late Night Food; Local Institution,FALSE
the-lalaurie-mansion,The LaLaurie Mansion,29.9616,-90.0607,Historic Site; Haunted; Dark Tourism,FALSE
the-maison,The Maison,29.9625,-90.0579,Live Music; Late Night,FALSE
the-mardi-gras-museum,The Mardi Gras Museum,29.9589,-90.0669,Culture; Tourist Behavior,FALSE
the-pontalba-buildings,The Pontalba Buildings,29.9575,-90.062,Historic Site; Architecture; First Timer Essential,FALSE
the-presbyt-re,The Presbytère,29.9577,-90.0631,Historic Site; Culture; Architecture,FALSE
the-royal-art-gallery,The Royal Art Gallery,29.958,-90.064,Shopping; Culture,FALSE
the-sazerac-house,The Sazerac House,29.9515,-90.0682,Culture; Tourist Essential; Cocktail History,FALSE
the-spice-tea-exchange-of-new-orleans,The Spice & Tea Exchange of New Orleans,29.9589,-90.065,Shopping; Tourist Behavior,FALSE
the-spotted-cat-music-club,The Spotted Cat Music Club,29.9632,-90.0574,Live Music; Jazz Essential,FALSE
the-will-the-way,The Will & The Way,29.9572,-90.0652,Craft Cocktails; Hidden Gem; Local Institution,FALSE
three-legged-dog,Three Legged Dog,29.9567,-90.0694,Dive Bar; Late Night Food; Local Institution; 24 Hours,FALSE
three-muses,Three Muses,29.9626,-90.0577,Live Music; Jazz Essential; Craft Cocktails; Local Institution,FALSE
toulouse-bar,Toulouse Bar,29.9619,-90.0646,Dive Bar,FALSE
toulouse-theatre,Toulouse Theatre,29.957,-90.0654,Live Music,FALSE
trashy-diva,Trashy Diva,29.9578,-90.0641,Shopping,FALSE
tujague-s,Tujague's,29.9559,-90.0623,Historic Bar; Cocktail History; First Timer Essential,FALSE
turtle-bay,Turtle Bay,29.9603,-90.0602,Dive Bar; Late Night Food; Local Institution,FALSE
u-s-custom-house,U.S. Custom House,29.9525,-90.0661,Historic Site; Architecture,FALSE
verti-marte,Verti Marte,29.9615,-90.0601,Late Night Food; Cheap Eats; Local Institution; 24 Hours,FALSE
voodoo-authentica,Voodoo Authentica,29.9592,-90.0628,Occult; Authentic Cultural Practice,FALSE
voodoo-lounge,Voodoo Lounge,29.9604,-90.0677,Dive Bar; Local Institution; 24 Hours,FALSE
voodoo-spiritual-temple,Voodoo Spiritual Temple,29.9653,-90.0647,Occult; Authentic Cultural Practice; Underground,FALSE
washington-artillery-park,Washington Artillery Park,29.9571,-90.0623,Historic Site; Tourist Behavior,FALSE
d-b-a,d.b.a.,29.9634,-90.057,Live Music; Jazz Essential; Local Institution,FALSE
bank-of-louisiana,Bank of Louisiana,29.9558,-90.0667,Architecture; Historic Site,FALSE
louisiana-state-bank-building,Louisiana State Bank Building,29.9555,-90.0670,Architecture; Historic Site,FALSE
louisiana-supreme-court-building,Louisiana Supreme Court Building & Law Library,29.9557,-90.0660,Architecture; Historic Site; Free Admission,FALSE
historic-new-orleans-collection,The Historic New Orleans Collection,29.9569,-90.0656,Museum; Historic Site; Architecture; Free Admission,FALSE
gallier-hall,Gallier Hall,29.9463,-90.0714,Architecture; Historic Site,FALSE
hibernia-bank-building,Hibernia Bank Building,29.9517,-90.0714,Architecture; Historic Site,FALSE
new-orleans-cotton-exchange,New Orleans Cotton Exchange,29.9519,-90.0713,Architecture; Historic Site,FALSE
hennen-building,Hennen Building,29.9525,-90.0714,Architecture; Historic Site,FALSE
john-minor-wisdom-courthouse,John Minor Wisdom U.S. Court of Appeals Building,29.9477,-90.0692,Architecture; Historic Site,FALSE
lee-circle,Lee Circle (Tivoli Circle),29.9431,-90.0722,Historic Site,FALSE
plaza-tower,Plaza Tower,29.9464,-90.0767,Architecture; Weird,FALSE
hancock-whitney-center,Hancock Whitney Center,29.9502,-90.0711,Architecture,FALSE
caesars-superdome,Caesars Superdome,29.9508,-90.0811,Architecture; Historic Site,FALSE
immaculate-conception-church,Immaculate Conception Church (Jesuit Church),29.9535,-90.0715,Historic Site; Architecture; Free Admission,FALSE
st-patrick-s-church,St. Patrick's Church,29.9466,-90.0698,Historic Site; Architecture; Free Admission,FALSE
our-lady-of-guadalupe-shrine-of-st-jude,Our Lady of Guadalupe Church & International Shrine of St. Jude,29.9585,-90.0707,Historic Site; Architecture; Free Admission,FALSE
st-augustine-church,St. Augustine Church,29.9652,-90.0662,Historic Site; Culture; Free Admission,FALSE
st-louis-cemetery-no-2,St. Louis Cemetery No. 2,29.9606,-90.0756,Historic Site; Cemetery; Haunted,FALSE
perseverance-hall,Perseverance Hall,29.9628,-90.0678,Historic Site; Hidden Gem,FALSE
bourbon-street,Bourbon Street,29.9590,-90.0653,Iconic Street; Tourist Essential,FALSE
royal-street,Royal Street,29.9596,-90.0633,Iconic Street; Architecture; Shopping,FALSE
frenchmen-street,Frenchmen Street,29.9618,-90.0577,Iconic Street; Live Music,FALSE
esplanade-avenue,Esplanade Avenue,29.9632,-90.0598,Iconic Street; Architecture; Historic Site,FALSE
st-charles-streetcar-line,St. Charles Streetcar Line,29.9540,-90.0703,Historic Site; Architecture,FALSE
jax-brewery,Jax Brewery,29.9561,-90.0633,Historic Site; Shopping; Architecture,FALSE
woldenberg-park,Woldenberg Park,29.9533,-90.0630,Park; Riverfront; Family-Friendly,FALSE
spanish-plaza,Spanish Plaza,29.9490,-90.0627,Park; Architecture; Riverfront,FALSE
piazza-d-italia,Piazza d'Italia,29.9478,-90.0664,Park; Architecture; Hidden Gem,FALSE
lafayette-square,Lafayette Square,29.9483,-90.0703,Park; Historic Site,FALSE
washington-square-park,Washington Square Park,29.9650,-90.0573,Park; Local Institution,FALSE
crescent-park,Crescent Park,29.9618,-90.0548,Park; Riverfront; Hidden Gem,FALSE
confederate-memorial-hall-museum,Confederate Memorial Hall Museum,29.9434,-90.0713,Museum; Historic Site,FALSE
national-wwii-museum,The National WWII Museum,29.9431,-90.0703,Museum; Family-Friendly; Tourist Essential,FALSE
ogden-museum-of-southern-art,Ogden Museum of Southern Art,29.9437,-90.0714,Museum; Art,FALSE
contemporary-arts-center,Contemporary Arts Center (CAC),29.9437,-90.0728,Museum; Art,FALSE
mardi-gras-world,Mardi Gras World,29.9351,-90.0615,Tourist Activity; Family-Friendly; Culture,FALSE
audubon-aquarium-and-insectarium,Audubon Aquarium and Insectarium,29.9503,-90.0631,Museum; Family-Friendly; Tourist Essential,FALSE
american-italian-cultural-center,American Italian Cultural Center & Museum,29.9476,-90.0660,Museum; Culture,FALSE
irish-cultural-museum-of-new-orleans,Irish Cultural Museum of New Orleans,29.9574,-90.0692,Museum; Culture; Hidden Gem,FALSE
1850-house,1850 House,29.9596,-90.0630,Museum; Historic Site,FALSE
new-orleans-african-american-museum,New Orleans African American Museum,29.9665,-90.0679,Museum; Culture,FALSE
le-musee-de-fpc,Le Musée de f.p.c.,29.9739,-90.0757,Museum; Culture; Hidden Gem,FALSE
save-our-cemeteries-walking-tours,Save Our Cemeteries Walking Tours,29.9585,-90.0707,Walking Tour; Cemetery Tour,FALSE
haunted-history-tours,Haunted History Tours,29.9584,-90.0652,Walking Tour; Ghost Tour,FALSE
french-quarter-phantoms,French Quarter Phantoms,29.9604,-90.0677,Walking Tour; Ghost Tour,FALSE
gray-line-new-orleans,Gray Line New Orleans,29.9555,-90.0616,Guided Tour; Riverboat,FALSE
new-orleans-school-of-cooking,New Orleans School of Cooking,29.9555,-90.0648,Tourist Activity; Cooking Class; Family-Friendly,FALSE
riverwalk-marketplace,Riverwalk Marketplace,29.9478,-90.0625,Shopping; Family-Friendly,FALSE
canal-place,Canal Place,29.9512,-90.0649,Shopping,FALSE
creole-queen-riverboat,Creole Queen Riverboat,29.9483,-90.0635,Riverboat Cruise; Tourist Essential,FALSE
the-fillmore-new-orleans,The Fillmore New Orleans,29.9497,-90.0653,Live Music,FALSE
caesars-new-orleans-casino,Caesars New Orleans (Casino),29.9495,-90.0653,Tourist Activity; Casino,FALSE
the-escape-game-new-orleans,The Escape Game New Orleans,29.9530,-90.0655,Escape Room; Family-Friendly,FALSE
clue-carre,Clue Carré,29.9515,-90.0723,Escape Room,FALSE
basin-st-station,Basin St. Station,29.9597,-90.0707,Visitor Center; Historic Site; Free Admission,FALSE
carver-theater,Carver Theater,29.9671,-90.0767,Historic Site; Live Performance,FALSE
le-petit-theatre-du-vieux-carre,Le Petit Théâtre du Vieux Carré,29.9575,-90.0642,Live Performance; Historic Site,FALSE
saenger-theatre,Saenger Theatre,29.9558,-90.0728,Live Performance; Historic Site; Architecture,FALSE
orpheum-theater,Orpheum Theater,29.9544,-90.0725,Live Performance; Historic Site,FALSE
civic-theatre,Civic Theatre,29.9495,-90.0742,Live Performance,FALSE
joy-theater,Joy Theater,29.9564,-90.0740,Live Performance; Historic Site,FALSE
mahalia-jackson-theater,Mahalia Jackson Theater for the Performing Arts,29.9631,-90.0693,Live Performance,FALSE
marigny-opera-house,Marigny Opera House,29.9650,-90.0491,Live Performance; Historic Site; Architecture,FALSE
st-roch-market,St. Roch Market,29.9694,-90.0522,Historic Site; Market; Hidden Gem,FALSE
antoines,Antoine's,29.956698,-90.066479,Fine Dining; Creole; Historic Restaurant,FALSE
broussards,Broussard's,29.9566,-90.0682,Fine Dining; Creole; Historic Restaurant,FALSE
galatoires,Galatoire's,29.954935,-90.069008,Fine Dining; Creole; Historic Restaurant,FALSE
central-grocery,Central Grocery,29.958811,-90.06109,Historic Restaurant; Sandwiches; Muffuletta,FALSE
mr-bs-bistro,Mr. B's Bistro,29.954259,-90.068271,Creole; Fine Dining; Brunch,FALSE
bayona,Bayona,29.957394,-90.068083,Fine Dining; Creole,FALSE
bennachin,Bennachin,29.962229,-90.060897,African Cuisine,FALSE
cafe-envie,Cafe Envie,29.961446,-90.058714,Cafe; Coffee,FALSE
coops-place,Coop's Place,29.960149,-90.059891,Cajun; Casual; Fried Chicken,FALSE
felipes-taqueria,Felipe's Taquería,29.95341,-90.065191,Mexican,FALSE
felixs-restaurant-oyster-bar,Felix's Restaurant & Oyster Bar,29.954616,-90.068858,Seafood; Oysters; Casual,FALSE
jimani,Jimani,29.953457,-90.067525,Bar; Late Night,FALSE
johnnys-po-boys,Johnny's Po-Boys,29.955399,-90.064475,Sandwiches; Po-boys; Casual,FALSE
mona-lisa,Mona Lisa,29.962159,-90.06098,Italian; Pizza,FALSE
port-of-call,Port of Call,29.964478,-90.061685,Burgers; Casual,FALSE
yo-mamas-bar-and-grill,Yo Mama's Bar and Grill,29.958465,-90.065314,Burgers; Bar,FALSE
rampart-treehouse,Rampart Treehouse,29.96113,-90.06756,Bar; Pizza; Craft Cocktails,FALSE
ccs-coffee-house-royal,CC's Coffee House,29.960424,-90.062713,Coffee,FALSE
croissant-dor,Croissant d'Or,29.960901,-90.061281,Bakery; Cafe; French,FALSE
french-market-restaurant-bar,French Market Restaurant and Bar,29.959272,-90.060699,Seafood; Happy Hour,FALSE
el-gato-negro,El Gato Negro,29.960954,-90.058494,Mexican,FALSE
green-goddess,Green Goddess,29.954728,-90.06705,New American,FALSE
gumbo-shop,Gumbo Shop,29.957714,-90.064483,Creole; Casual,FALSE
italian-barrel,Italian Barrel,29.961334,-90.058607,Italian,FALSE
louisiana-pizza-kitchen,Louisiana Pizza Kitchen,29.961112,-90.058263,Pizza,FALSE
remoulade,Remoulade,29.955691,-90.06837,Creole; Casual,FALSE
stanley,Stanley,29.958275,-90.062965,Casual; Breakfast,FALSE
nola-restaurant,NOLA,29.955443,-90.064727,Creole; Fine Dining,FALSE
court-of-two-sisters,Court of Two Sisters,29.957509,-90.065242,Creole; Brunch; Live Music,FALSE
doris-metropolitan,Doris Metropolitan,29.957009,-90.064101,Steakhouse; Fine Dining,FALSE
menas-palace,Mena's Palace,29.953473,-90.067198,Southern; Casual,FALSE
dian-xin,Dian Xin,29.954161,-90.068484,Chinese; Dim Sum,FALSE
restaurant-revolution,Restaurant R'evolution,29.955369,-90.068097,Creole; Fine Dining,FALSE
cafe-amelie,Café Amelie,29.959616,-90.063133,Creole; Courtyard,FALSE
pierre-masperos,Pierre Maspero's,29.955682,-90.065221,Creole; Casual; Historic Restaurant,FALSE
vampire-cafe,Vampire Cafe,29.959027,-90.064036,Novelty; Cafe; Bar,FALSE
fives-bar,Fives Bar,29.954857,-90.067687,Oysters; Bar,FALSE
muriels-jackson-square,Muriel's Jackson Square,29.958425,-90.063086,Creole; Fine Dining; Historic Restaurant,FALSE
meauxbar,Meauxbar,29.962760,-90.066114,French Bistro,FALSE
irenes-cuisine,Irene's Cuisine,29.959490,-90.061015,Italian; Creole,FALSE
tableau,Tableau,29.957392,-90.064001,French; Creole; Fine Dining,FALSE
vacherie,Vacherie,29.958389,-90.067017,Cajun,FALSE
kingfish,Kingfish Kitchen & Cocktails,29.954621,-90.066401,Creole; Craft Cocktails,FALSE
criollo,Criollo,29.954188,-90.067944,Creole,FALSE
succotash-nola,Succotash,29.961981,-90.066478,Seafood; Southern,FALSE
patula,Patula,29.964513,-90.057814,Bistro,FALSE
antoinettes,Antoinette's Coffee House,29.958881,-90.062421,Coffee; Cafe,FALSE
tatlo,Tatlo,29.959035,-90.065259,Filipino,FALSE
angeline,Angeline,29.960132,-90.061265,Southern; New American,FALSE
holywater,Holywater,29.955225,-90.066453,Bar; Wine Bar,FALSE
blue-bayou-restaurant,Blue Bayou Restaurant and Oyster Bar,29.959035,-90.065259,Seafood; Cajun,FALSE
landrys-seafood,Landry's Seafood House,29.954429,-90.064788,Seafood,FALSE
deanies-seafood,Deanie's Seafood,29.955326,-90.069928,Seafood; Casual,FALSE
olde-new-orleans-cookery,Olde New Orleans Cookery,29.955758,-90.067121,Creole; Cajun; Casual,FALSE
pelican-club,Pelican Club,29.954578,-90.066924,Creole; Fine Dining,FALSE
cafe-pontalba,Cafe Pontalba,29.957272,-90.063846,Creole; Casual,FALSE
cafe-beignet,Cafe Beignet,29.955217,-90.066967,Cafe; Beignets,FALSE
mambos,Mambo's,29.956564,-90.067578,Cuban,FALSE
hard-rock-cafe-nola,Hard Rock Cafe,29.954933,-90.064184,American; Casual,FALSE
riverboat-city-of-new-orleans,Riverboat City of New Orleans,29.955186,-90.062275,Dining Cruise,FALSE
bourbon-heat,Bourbon Heat,29.958916,-90.065603,Bar; Late Night,FALSE
crescent-city-brewhouse,Crescent City Brewhouse,29.955627,-90.063989,Brewery; Live Music,FALSE
red-fish-grill,Red Fish Grill,29.954368,-90.069552,Seafood,FALSE
bourbon-house,Bourbon House,29.954193,-90.069434,Seafood; Oysters,FALSE
desire-oyster-bar,Desire Oyster Bar,29.955698,-90.067817,Oysters; Cajun,FALSE
pier-424-seafood,Pier 424 Seafood Market Restaurant,29.956724,-90.067229,Seafood,FALSE
cornet,Cornet,29.958610,-90.065564,Bar,FALSE
carousel-bar,The Carousel Bar & Lounge,29.954162,-90.068069,Historic Bar; Craft Cocktails; Rotating Bar,FALSE
